Title,Lyrics
에잇 (eight),"
So are you happy now?
Finally happy now? Yeah
뭐 그대로야 난
다 잃어버린 것 같아
[Pre-Chorus: IU]
모든 게 맘대로 왔다가 인사도 없이 떠나
이대로는 무엇도 사랑하고 싶지 않아
다 해질 대로 해져버린
기억 속을 여행해
[Chorus: IU]
우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 이별 따위는 없어
아름다웠던 그 기억에서 만나
[Post-Chorus: IU]
Forever young
Oh oh oh, oh-oh oh oh
Oh oh oh, oh-oh oh oh
Forever we young
Oh oh oh, oh-oh oh oh
이런 악몽이라면 영영 깨지 않을게
[Verse 2: SUGA]
(SUGA)
섬 그래 여긴 섬 서로가 만든 작은 섬
Yeah, mm, forever young
""영원""이란 말은 모래성
작별은 마치 재난문자 같지
그리움과 같이 맞이하는 아침
서로가 이 영겁을 지나
꼭 이 섬에서 다시 만나
[Pre-Chorus: IU]
지나듯 날 위로하던 누구의 말대로 고작
한 뼘짜리 추억을 잊는 게 참 쉽지 않아
시간이 지나도 여전히
날 붙드는 그곳에
[Chorus: IU]
우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 안녕 따위는 없어
아름다웠던 그 기억에서 만나
[Bridge: IU]
우리는 서로를 베고 누워
슬프지 않은 이야기를 나눠
우울한 결말 따위는 없어
난 영원히 널 이 기억에서 만나
[Post-Chorus: IU]
Forever young
Oh oh oh, oh-oh oh oh
Oh oh oh, oh-oh oh oh
Forever we young
Oh oh oh, oh-oh oh oh
이런 악몽이라면 영영 깨지 않을게"
팔레트 (Palette),"
[Intro: IU]
Like it (Like it)
Got this (Got this)
[Verse 1: IU]
이상하게도 요즘엔 그냥 쉬운 게 좋아
하긴 그래도 여전히 코린 음악은 좋더라
Hot pink보다 진한 보라색을 더 좋아해, mmm
또 뭐더라?
단추 있는 pajamas, lipstick
좀 짓궂은 장난들
[Chorus: IU]
I like it, I'm twenty-five (Oh-oh)
날 좋아하는 거 알아
Oh, I got this, I'm truly fine (Oh-oh)
이제 조금 알 것 같아 날
[Verse 2: IU]
긴 머리보다 반듯이 자른 단발이 좋아
하긴 그래도 ""좋은 날"" 부를 땐 참 예뻤더라
왜 그럴까 조금 촌스러운 걸 좋아해? Mmm
그림보다 빼곡히 채운 palette, 일기
잠들었던 시간들
[Chorus: IU]
I like it, I'm twenty-five (Oh-oh)
날 미워하는 거 알아
Oh, I got this, I'm truly fine (Oh-oh)
이제 조금 알 것 같아 날
[Verse 3: G-Dragon,
IU
,
Both
]
Ayy (휴)
어려서 모든 게 어려워, 잔소리에 매 서러워
꾸중만 듣던 철부지 애 (애)
겨우 스무고개 넘어, 기쁨도 잠시 어머
아프니까 웬 청춘이래 (A-ha)
지은아, 오빠는 말이야, 지금 막 서른인데
나는 절대로 아니야, 근데 막 어른이 돼
아직도 한참 멀었는데
너보다 다섯 살 밖에 안 먹었는데 (Oh)
스물 위, 서른 아래, 고맘때, right there (Right there)
애도 어른도 아닌 나이 때, 그저 나일 때
가장 찬란하게 빛이 나 (Oh-oh)
어둠이 드리워질 때도 겁내지마
너무 아름다워서 꽃잎 활짝 펴서
언제나 사랑받는 아이 you
Palette
(Ayy),
일기
잠들었던 시간들
[Chorus: IU]
I like it, I'm twenty five (Oh-oh)
날 좋아하는 거 알아 (Oh, oh)
Oh, I got this (I got this), I'm truly fine (Oh-oh)
이제 조금 알 것 같아 날 (아직 할 말이 많아)
I like it (Like it), I'm twenty-five (Oh)
날 미워하는 거 알아
Oh, I got this (Got this), I truly found (Oh-oh)
이제 조금 알 것 같아 날"
밤편지 (Through the Night),"
[Verse 1]
이 밤 그날의 반딧불을 당신의
창 가까이 보낼게요
음 사랑한다는 말이에요
[Verse 2]
나, 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고
음 가장 먼 곳으로 가요
[Chorus]
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
늘 그리워 그리워
여기 내 마음속에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말이에요
[Verse 3]
어떻게 나에게
그대란 행운이 온 걸까
지금 우리 함께 있다면
아, 얼마나 좋을까요
[Chorus]
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
다 그리워 다 그리워
나의 일기장 안에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말
[Outro]
이 밤 그날의 반딧불을 당신의
창 가까이 띄울게요
음 좋은 꿈 이길 바라요"
Love wins all,"
[Verse 1]
Dearest, darling, my universe
날 데려가 줄래?
나의 이 가난한 상상력으론
떠올릴 수 없는 곳으로
[Verse 2]
저기 멀리 from Earth to Mars
꼭 같이 가줄래?
그곳이 어디든, 오랜 외로움
그 반대말을 찾아서
[Pre-Chorus]
어떤 실수로
이토록 우리는
함께일까?
[Chorus]
세상에게서 도망쳐, run on
나와 저 끝까지 가줘, my lover
나쁜 결말일까 길 잃은 우리 둘? Mm
부서지도록 나를 꼭 안아
더 사랑히 내게 입맞춰, lover
Love is all, love is all
Love, love, love, love
[Pre-Chorus]
결국, 그럼에도
어째서 우리는?
서로일까?
[Chorus]
세상에게서 도망쳐, run on
나와 저 끝까지 가줘, my lover
나쁜 결말일까 길 잃은 우리 둘? Mm
[Bridge]
찬찬히 너를 두 눈에 담아
한 번 더 편안히 웃어주렴
유영하듯 떠오른
그날 그 밤처럼
나와 함께 겁 없이 저물어줄래?
산산히 나를 더 망쳐, ruiner
너와 슬퍼지고 싶어, my lover
[Chorus]
필연에게서 도망쳐, run on
나와 저 끝까지 가줘, my lover
일부러 나란히 길 잃은 우리 두 사람
부서지도록 나를 꼭 안아
더 사랑히 내게 입맞춰, lover
Our love wins all, love wins all
Love, love, love, love"
BBIBBI (삐삐),"
[Verse 1]
Hi there, 인사해 호들갑 없이
시작해요 서론 없이
Skinship은 사양할게요, back off, back off
이대로 좋아요, balance, balance
It's me, 나예요 다를 거 없이
요즘엔 뭔가요 내 gossip?
탐색하는 불빛, scanner, scanner
오늘은 몇 점인가요? Jealous, jealous
[Pre-Chorus]
쟤는 대체 왜 저런 옷을 좋아한담?
기분을 알 수 없는 저 표정은 뭐람?
태가 달라진 건 아마 stress 때문인가?
걱정이야 쟤도 참
[Chorus]
Yellow C-A-R-D (Oh-oh)
이 선 넘으면 침범이야, beep
(Oh-oh)
매너는 여기까지
It's mi-mi-mi-mine
Please keep the li-li-li-line
Hello, stu-P-I-D (Oh-oh)
그 선 넘으면 정색이야, beep (Oh-oh)
Stop it, 거리 유지해 'cause we don't know, know, know, know
Comma, we don't owe, owe, owe, owe
(Any-anything)
[Interlude]
Uh-uh-uh, uh-uh
Oh-oh-oh
[Verse 2]
I don't care 당신의 비밀이 뭔지
저마다의 사정 역시
정중히 사양할게요, not my business
이대로 좋아요, talk, talk less
Still me, 또예요 놀랄 거 없이
Hm, I'm sure you're gonna say, ""My gosh""
바빠지는 눈빛, check-checking
매일 틀린 그림 찾기, oh, hashtagging
[Pre-Chorus]
꼿꼿하게 걷다가 삐끗 넘어질라
다들 수군대는 걸 자긴 아나? 몰라
요새 말이 많은 걔랑 어울린다나?
문제야 쟤도 참
[Chorus]
Yellow C-A-R-D
이 선 넘으면 침범이야, beep
(Oh-oh)
매너는 여기까지
It's mi-mi-mi-mine
Please keep the li-li-li-line
Hello, stu-P-I-D (Oh-oh)
그 선 넘으면 정색이야, beep
(Oh-oh)
Stop it, 거리 유지해 'cause we don’t know, know, know, know
Comma, we don't owe, owe, owe, owe (Anything)
[Bridge]
편하게 하지 뭐
어, 거기 너 내 말 알아들어? 어?
I don't believe it
에이, 아직 모를 걸
내 말 틀려? 또 나만 나뻐? 어, 어?
I don't believe it
깜빡이 켜, 교양이 없어 너
knock, knock, knock, knock
'Nough, 더 상대 안 해, block, block, block, block
잘 모르겠으면 이젠 좀 외워, babe
Repeat, repeat, 참 쉽지, right?
[Chorus]
Yellow C-A-R-D (Oh-oh)
이 선 넘으면 침범이야, beep
(Beep-beep)
매너는 여기까지
It's mi-mi-mi-mine
Please keep the li-li-li-line
Hello, stu-P-I-D (Oh-oh)
그 선 넘으면 정색이야, beep (Beep-beep)
Stop it, 거리 유지해 'cause we don’t know, know, know, know
Comma, we don't owe, owe, owe, owe (Any-anything)"
이런 엔딩 (Ending Scene),"
[Verse 1]
안녕 오랜만이야
물음표 없이 참 너다운 목소리
정해진 규칙처럼
추운 문가에 늘 똑같은 네 자리
[Verse 2]
""제대로 잘 먹어 다 지나가니까
예전처럼 잠도 잘 자게 될 거야
진심으로 빌게
너는 더 행복할 자격이 있어""
[Chorus]
그런 말은 하지마 제발
그 말이 더 아픈 거 알잖아
사랑해줄 거라며 다 뭐야
어떤 맘을 준 건지 너는 모를 거야
[Verse 3]
""외로웠던 만큼 너를 너보다
사랑해줄 사람 꼭 만났으면 해
내가 아니라서 미안해
주는 게 쉽지가 않아""
[Chorus]
그런 말은 하지마 제발
그 말이 더 아픈 거 알잖아
사랑해줄 거라며 다 뭐야
어떤 맘을 준 건지 끝내 모를
[Outro]
솔직히 말해줄래 제발
너라면 다 믿는 거 알잖아
네 말대로 언젠가 나도
나 같은 누군가에게 사랑받게 될까?"
이름에게 (Dear Name),"
[Verse 1]
꿈에서도 그리운 목소리는
이름 불러도 대답을 하지 않아
글썽이는 그 메아리만 돌아와
그 소리를 나 혼자서 들어
[Pre-Chorus 1]
깨어질 듯이 차가워도
이번에는 결코 놓지 않을게
아득히 멀어진 그날의 두 손을
[Chorus]
끝없이 길었던 짙고 어두운 밤 사이로
조용히 사라진 네 소원을 알아
오래 기다릴게 반드시 너를 찾을게
보이지 않도록 멀어도
가자 이 새벽이 끝나는 곳으로
[Verse 2]
어김없이 내 앞에 선 그 아이는
고개 숙여도 기어이 울지 않아
안쓰러워 손을 뻗으면 달아나
텅 빈 허공을 나 혼자 껴안아
[Pre-Chorus 2]
에어질듯이 아파와도
이번에는 결코 잊지 않을게
한참을 외로이 기다린 그 말을
[Chorus]
끝없이 길었던 짙고 어두운 밤 사이로
영원히 사라진 네 소원을 알아
오래 기다릴게 반드시 너를 찾을게
보이지 않도록 멀어도
가자 이 새벽이 끝나는 곳
[Chorus 2]
수없이 잃었던 춥고 모진 날 사이로
조용히 잊혀진 네 이름을 알아
멈추지 않을게 몇 번이라도 외칠게
믿을 수 없도록 멀어도
가자 이 새벽이 끝나는 곳으로"
사랑이 잘 (Can’t Love You Anymore),"
[Verse 1: IU &
Oh Hyuk
]
미리 말할게 사과는 안 해
아무 말 없이 너 후회 안 해
다 관심 없잖아 친구야 뭐야
(
Oh you know what to do
)
피곤해 그만 오늘은 놔 줘
더 이상 반복하긴 싫어
또 다 내가 나빠
아마 그래 난 널 미워하나 봐
[Chorus: IU & Oh Hyuk]
사랑이 잘 안 돼 떠올려 봐도
피부를 비비고 안아봐도
입술을 맞춰도 참
생각대로 되지 않아
웃긴 것 같아
되돌려보려고 서로 모른 척해도
이제 와 우리가 어떻게
다시 사랑 같은 걸 하겠어
[Verse 2: Oh Hyuk &
IU
]
다섯 번째 미안하단 말이
이젠 너에게는 지겨운 건지
마지막일 거란 예감이 들어
(
Oh you know what to do
)
이건 내가 오늘 하루 종일
그린 저녁은 분명 아니야
널 보면 자꾸 네 안에 내가 보여서
이젠 내가 싫어
[Chorus: Oh Hyuk & IU]
사랑이 잘 안 돼 떠올려 봐도
피부를 부비고 안아봐도
입술을 맞춰도 참
생각대로 되지 않아
웃긴 것 같아
되돌려보려고 계속 모른 척해도
이제 와 우리가 어떻게
다시 사랑 같은 걸 하겠어
[Bridge: IU &
Oh Hyuk
&
Together
]
어디야
(
넌 어디야
)
집이야
(
난 택시야
)
집에 거의 다 와가니
(
Oh 미안해
)
뭐 어떤 게 (
그냥 다
)
들어가 (
나 지갑 거기 두고 왔어
)
Oh
있잖아
아니야 (
말해 봐
)
이제 더 사랑하지 않는 것 같아
[Chorus: IU & Oh Hyuk]
사랑이 잘 안 돼 떠올려 봐도
피부를 부비고 안아봐도
입술을 맞춰도 참
생각대로 되지 않아
웃긴 것 같아
되돌려보려고 서로 모른 척해도
이제 와 우리가 어떻게
다시 사랑 같은 걸 하겠어"
라일락 (LILAC),"
[Verse 1]
나리는 꽃가루에 눈이 따끔해 (아야)
눈물이 고여도 꾹 참을래
내 마음 한켠 비밀스런 오르골에 넣어두고서
영원히 되감을 순간이니까
[Pre-Chorus]
우리 둘의 마지막 페이지를 잘 부탁해
어느 작별이 이보다 완벽할까
Love me only 'til this spring
[Chorus]
오 라일락 꽃이 지는 날 goodbye
이런 결말이 어울려
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야
[Post-Chorus]
Ooh, ooh, ooh, ooh
Love me only 'til this spring
봄바람처럼
Ooh, ooh, ooh, ooh
Love me only 'til this spring
봄바람처럼
[Verse 2]
기분이 달아 콧노래 부르네 (랄라)
입꼬리는 살짝 올린 채
어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지
오늘따라 내 모습 맘에 들어
[Pre-Chorus]
처음 만난 그날처럼 예쁘다고 말해줄래
어느 이별이 이토록 달콤할까
Love resembles misty dream
[Chorus]
오 라일락 꽃이 지는 날 goodbye
이런 결말이 어울려
안녕 꽃잎 같은 안녕
하이얀 우리 봄날의 climax
아 얼마나 기쁜 일이야
[Post-Chorus]
Ooh, ooh, ooh, ooh
Love resembles misty dream
뜬 구름처럼
Ooh, ooh, ooh, ooh
Love resembles misty dream
뜬 구름처럼
[Bridge]
너도 언젠가 날 잊게 될까
지금 표정과 오늘의 향기도
단잠 사이에 스쳐간
봄날의 꿈처럼
[Chorus]
오 라일락 꽃이 지는 날 goodbye
너의 대답이 날 울려
안녕 약속 같은 안녕
하이얀 우리 봄날에 climax
아 얼마나 기쁜 일이야
[Post-Chorus]
Ooh, ooh, ooh, ooh
Love me only 'til this spring (Oh)
봄바람처럼 (봄바람처럼)
Ooh, ooh, ooh, ooh (Oh)
Love me only 'til this spring
봄바람처럼
Ooh, ooh, ooh, ooh (Oh-oh, oh-oh)
Love resembles misty dream
뜬 구름처럼 (뜬 구름처럼)
Ooh, ooh, ooh, ooh
Love resembles misty dream
뜬 구름처럼"
Celebrity,"
[Verse 1]
세상의 모서리
구부정하게 커버린 골칫거리 outsider (Uh, huh)
걸음걸이, 옷차림
이어폰 너머 playlist 음악까지 다 minor
[Pre-Chorus]
넌 모르지 떨군 고개 위
환한 빛 조명이 (어딜 비추는지)
느려도 좋으니 결국 알게 되길
The one and only,
you're my celebrity
[Chorus]
잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야 you're my celebrity
[Post-Chorus]
(
I know you are, are
)
(
I know you are, are
)
(
I know you are, you are, are
)
Celebrity
(
I know you are, are
)
(
I know you are, are
)
(
I know you are, are
)
You're my celebrity
[Verse 2]
지쳐버린 표정 마치
전원을 꺼놓은 듯이 심장 소린 too quiet (Uh, huh)
네가 가진 반짝거림
상상력, identity까지 모조리 diet, huh
[Pre-Chorus]
넌 모르지 아직 못다 핀
널 위해 쓰여진 (오래된 사랑시)
헤매도 좋으니 웃음 짓게 되길
The one and only, you're my celebrity
[Chorus]
잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야 you're my celebrity
[Bridge]
발자국마다 이어진 별자리
그 서투른 걸음이 새겨놓은 밑그림
오롯이 너를 만나러 가는 길
그리로 가면 돼 점선을 따라
[Chorus]
잊지마 이 오랜 겨울 사이
언 틈으로 피울 꽃 하나
보이니 하루 뒤 봄이 얼마나
아름다울지 말야 you're my celebrity
[Post-Chorus]
(
I know you are, arе
)
(
I know you are, are
)
(
I know you are, you arе, are
)
Celebrity
(
I know you are, are
)
(
I know you are, are
)
(
I know you are, are
)
You're my celebrity"
